iter	Passed	Remaining
1364	8370	52950
1365	8376	52944
1366	8382	52935
1367	8387	52925
1368	8393	52918
1369	8399	52911
1370	8406	52907
1371	8411	52895
1372	8417	52888
1373	8422	52877
1374	8428	52869
1375	8433	52859
1376	8444	52880
1377	8449	52868
1378	8454	52855
1379	8459	52842
1380	8464	52830
1381	8470	52820
1382	8476	52814
1383	8482	52806
1384	8487	52796
1385	8493	52786
1386	8499	52779
1387	8505	52771
1388	8510	52759
1389	8516	52752
1390	8522	52745
1391	8528	52736
1392	8533	52727
1393	8539	52717
1394	8544	52706
1395	8549	52695
1396	8555	52685
1397	8560	52674
1398	8566	52666
1399	8572	52662
1400	8579	52657
1401	8585	52650
1402	8590	52639
1403	8597	52640
1404	8630	52796
1405	8674	53023
1406	8681	53022
1407	8701	53096
1408	8709	53103
1409	8715	53096
1410	8721	53087
1411	8727	53080
1412	8733	53072
1413	8738	53062
1414	8744	53054
1415	8750	53044
1416	8755	53033
1417	8760	53022
1418	8766	53012
1419	8772	53003
1420	8778	52997
1421	8784	52993
1422	8790	52982
1423	8797	52983
1424	8803	52977
1425	8809	52970
1426	8816	52965
1427	8822	52956
1428	8827	52943
1429	8832	52933
1430	8838	52925
1431	8843	52914
1432	8849	52904
1433	8855	52896
1434	8860	52886
1435	8866	52879
1436	8872	52870
1437	8877	52859
1438	8883	52851
1439	8889	52844
1440	8895	52838
1441	8901	52829
1442	8907	52822
1443	8913	52815
1444	8918	52804
1445	8925	52798
1446	8930	52789
1447	8936	52780
1448	8942	52771
1449	8947	52760
1450	8953	52753
1451	8959	52743
1452	8964	52733
1453	8970	52724
1454	8976	52715
1455	8981	52705
1456	8987	52696
1457	8994	52694
1458	8999	52684
1459	9009	52701
1460	9015	52693
1461	9022	52689
1462	9027	52679
1463	9032	52667
1464	9038	52656
1465	9044	52648
1466	9049	52637
1467	9055	52631
1468	9061	52621
1469	9066	52611
1470	9072	52601
1471	9078	52597
1472	9083	52586
1473	9089	52578
1474	9098	52584
1475	9106	52593
1476	9116	52604
1477	9123	52607
1478	9131	52607
1479	9141	52626
1480	9149	52629
1481	9154	52619
1482	9161	52613
1483	9166	52604
1484	9172	52596
1485	9178	52586
1486	9184	52577
1487	9189	52566
1488	9195	52560
1489	9201	52554
1490	9207	52546
1491	9213	52536
1492	9218	52527
1493	9224	52519
1494	9230	52509
1495	9235	52499
1496	9241	52489
1497	9247	52482
1498	9252	52472
1499	9258	52462
1500	9263	52454
1501	9269	52444
1502	9275	52436
1503	9280	52427
1504	9286	52417
1505	9292	52411
1506	9298	52405
1507	9304	52397
1508	9310	52388
1509	9316	52381
1510	9322	52374
1511	9328	52366
1512	9333	52356
1513	9339	52348
1514	9345	52340
1515	9350	52329
1516	9356	52323
1517	9363	52320
1518	9374	52338
1519	9383	52350
1520	9401	52411
1521	9407	52403
1522	9413	52394
1523	9418	52383
1524	9424	52375
1525	9430	52366
1526	9436	52359
1527	9441	52349
1528	9447	52341
1529	9453	52332
1530	9458	52321
1531	9463	52310
1532	9469	52303
1533	9475	52294
1534	9480	52284
1535	9486	52275
1536	9492	52266
1537	9500	52273
1538	9509	52281
1539	9521	52307
1540	9529	52310
1541	9536	52307
1542	9542	52298
1543	9547	52289
1544	9553	52279
1545	9559	52274
1546	9565	52265
1547	9570	52255
1548	9576	52248
1549	9581	52236
1550	9587	52228
1551	9593	52221
1552	9599	52212
1553	9605	52203
1554	9610	52195
1555	9616	52187
1556	9622	52179
1557	9628	52169
1558	9633	52158
1559	9639	52150
1560	9644	52141
1561	9650	52133
1562	9656	52125
1563	9662	52117
1564	9668	52108
1565	9673	52098
1566	9679	52090
1567	9684	52079
1568	9691	52074
1569	9696	52067
1570	9704	52068
1571	9711	52064
1572	9717	52060
1573	9724	52058
1574	9730	52048
1575	9735	52037
1576	9741	52029
1577	9747	52021
1578	9752	52011
1579	9758	52002
1580	9764	51996
1581	9770	51988
1582	9776	51983
1583	9782	51977
1584	9788	51971
1585	9794	51963
1586	9800	51954
1587	9806	51946
1588	9812	51939
1589	9817	51929
1590	9823	51918
1591	9828	51908
1592	9834	51899
1593	9839	51891
1594	9846	51885
1595	9851	51875
1596	9857	51865
1597	9862	51857
1598	9868	51849
1599	9874	51839
1600	9879	51831
1601	9886	51826
1602	9892	51817
1603	9897	51808
1604	9903	51800
1605	9910	51796
1606	9916	51793
1607	9922	51784
1608	9927	51774
1609	9933	51764
1610	9938	51753
1611	9944	51743
1612	9948	51731
1613	9954	51719
1614	9959	51710
1615	9965	51700
1616	9970	51690
1617	9976	51683
1618	9983	51678
1619	9988	51670
1620	9995	51665
1621	10000	51657
1622	10006	51648
1623	10012	51638
1624	10017	51630
1625	10023	51620
1626	10028	51610
1627	10035	51605
1628	10040	51596
1629	10046	51587
1630	10051	51578
1631	10057	51570
1632	10063	51561
1633	10068	51551
1634	10074	51542
1635	10080	51537
1636	10086	51529
1637	10092	51523
1638	10100	51527
1639	10107	51521
1640	10113	51515
1641	10119	51508
1642	10124	51497
1643	10130	51489
1644	10136	51481
1645	10141	51472
1646	10147	51465
1647	10153	51455
1648	10158	51446
1649	10164	51437
1650	10170	51430
1651	10175	51420
1652	10181	51414
1653	10187	51407
1654	10192	51396
1655	10199	51389
1656	10205	51383
1657	10212	51382
1658	10218	51375
1659	10224	51367
1660	10230	51361
1661	10236	51356
1662	10244	51357
1663	10250	51351
1664	10256	51345
1665	10263	51340
1666	10269	51336
1667	10277	51337
1668	10285	51340
1669	10293	51346
1670	10303	51356
1671	10314	51376
1672	10323	51382
1673	10330	51383
1674	10338	51381
1675	10345	51381
1676	10352	51381
1677	10361	51388
1678	10368	51385
